,OBSID,SRC_NUM,EP_ONTIME,INST,CONF_DT250,CONF_DT1000
0,0740960101,83,77523.94,PNS,0.99999976,0.9763288
1,0740960101,83,77523.94,PNX,0.99999976,0.9763288
2,0781350101,156,123007.8,PNX,0.99996257,0.99710757
3,0781350101,156,123007.8,PNS,0.99996257,0.99710757
4,0203900101,15,88889.55,PNX,0.9988757,0.9710428
5,0203900101,15,88889.55,PNS,0.9988757,0.9710428
6,0804580201,106,52924.69,PNX,0.979549,0.98207045
7,0804580201,106,52924.69,PNS,0.979549,0.98207045
8,0804580201,20,52924.69,PNS,0.99988556,0.98446006
9,0804580201,20,52924.69,PNX,0.99988556,0.98446006
10,0804580201,114,52924.61,PNX,0.9999925,0.9976756
11,0804580201,114,52924.61,PNS,0.9999925,0.9976756
12,0863050201,100,108634.4,PNX,0.9957209,0.9890994
13,0863050201,100,108634.4,PNS,0.9957209,0.9890994
14,0863050201,74,108634.4,PNX,0.9594651,0.9874592
15,0863050201,74,108634.4,PNS,0.9594651,0.9874592
16,0801950301,103,114966.1,PNS,0.99999917,0.9976503
17,0801950301,103,114966.1,PNX,0.99999917,0.9976503
18,0761070201,85,101675.6,PNX,0.9999714,0.9949456
19,0761070201,85,101675.6,PNS,0.9999714,0.9949456
20,0761070201,124,69610.8,PNX,0.97929364,0.9830943
21,0761070201,124,69610.8,PNS,0.97929364,0.9830943
22,0801950101,116,127662.0,PNS,0.99999964,0.9901641
23,0801950101,116,127662.0,PNX,0.99999964,0.9901641
