,Feature,Overall Change,No. 1->2,Avg 1->2,No. 2->3,Avg 2->3,No. 3->4,Avg 3->4,No. 10->11,Avg 10->11,No. 11->12,Avg 11->12,No. 12->13,Avg 12->13
0,0,0.00718266633902186,13,0.04130506008078327,78,-0.01732868142445562,55,-0.00963114590851293,55,-0.010979929452482336,78,0.04633772839180105,0.04633772839180105,13
1,1,0.030383540781144632,13,0.10311093340005711,78,0.022947289586262964,55,0.0706075855166498,55,0.01657400727408658,78,0.0066399394802161855,0.0066399394802161855,13
2,2,0.004807566246387328,13,0.09627329812613221,78,-0.013497202710791316,55,0.01655072492874779,55,-0.013529595270900176,78,0.007602044392539394,0.007602044392539394,13
3,3,-0.001584900255400186,13,0.050874993458366276,78,-0.050393475639336736,55,0.02151513635635847,55,0.015133676436561208,78,0.008629406447736613,0.008629406447736613,13
4,4,0.0025619623033692877,13,0.09181852215150307,78,-0.03921507718048513,55,0.02434046814333896,55,0.00024170323913894217,78,0.008031864738312668,0.008031864738312668,13
5,5,0.004228331367485754,13,0.10862046287577676,78,-0.003910708053045075,55,0.020662040582267335,55,-7.124587954426931e-05,78,-0.01844263111336387,-0.01844263111336387,13
6,6,0.005614760567105822,13,-0.07874160601611238,78,-0.015890744033361555,55,0.05198168147792086,55,0.0060477500072256656,78,0.004028518300715392,0.004028518300715392,13
7,7,0.048056796412062015,13,0.19193010921042142,78,0.025725019502577294,55,0.1343792051907934,55,0.014591611428293622,78,0.011855912489966267,0.011855912489966267,13
8,8,0.0631498303080685,13,0.1785725087154439,78,0.07842118217225795,55,0.10862792120903414,55,0.029986922317219836,78,0.02563593064392805,0.02563593064392805,13
9,9,0.03331488647736209,13,0.1405435199389396,78,0.02998346167064791,55,0.1132513890480251,55,-0.008727772961475333,78,-0.006792087068564259,-0.006792087068564259,13
10,10,0.03771519193075133,13,-0.013465315535856883,78,-0.028175171158247414,220,-0.006685368366387277,0,,78,0.20569203089643076,0.20569203089643076,13
11,11,0.04544102720381011,13,0.13474097246985353,78,0.08501230389470023,55,0.0650332190486036,55,0.00871426071819381,78,0.0068358655796934235,0.0068358655796934235,13
12,12,-0.024470497392255167,13,-0.11877936336715517,78,-0.0723024125458585,55,0.029691595098208564,55,-0.03585836403819411,78,-0.0004984185126350449,-0.0004984185126350449,13
13,13,-0.123339441121128,13,-0.18802173498843436,78,-0.21943620327170507,0,,220,-0.09448743062862379,78,-0.10837250165760863,-0.10837250165760863,13
